file,kind,line,snippet
global.R,parallel_state,62,    if (!is.null(values$current_data) && !is.null(app_state$data$current_data)) {
global.R,parallel_state,63,"      if (!identical(values$current_data, app_state$data$current_data)) {"
global.R,parallel_state,71,    if (!is.null(values$file_uploaded) && !is.null(app_state$session$file_uploaded)) {
global.R,parallel_state,72,      if (values$file_uploaded != app_state$session$file_uploaded) {
global.R,parallel_state,558,  app_state$events <- reactiveValues(
global.R,parallel_state,581,  app_state$data <- reactiveValues(
global.R,parallel_state,592,  app_state$columns <- reactiveValues(
global.R,parallel_state,613,  app_state$session <- reactiveValues(
global.R,parallel_state,623,  app_state$ui <- reactiveValues(
global.R,parallel_state,628,  app_state$navigation <- reactiveValues(
global.R,parallel_state,633,  app_state$visualization <- reactiveValues(
global.R,loose_observers,656,"#' app_state$events, triggering any observeEvent() listeners."
global.R,loose_observers,663,"#' emit$data_loaded()  # Triggers observeEvent(app_state$events$data_loaded, ...)"
global.R,triggers,556,  # REACTIVE EVENT BUS: Central event system for all triggers
global.R,triggers,629,    trigger = 0  # Counter for triggering navigation-dependent reactives
global.R,triggers,648,#' to trigger specific events throughout the application.
global.R,triggers,656,"#' app_state$events, triggering any observeEvent() listeners."
global.R,session_couple,71,    if (!is.null(values$file_uploaded) && !is.null(app_state$session$file_uploaded)) {
global.R,session_couple,72,      if (values$file_uploaded != app_state$session$file_uploaded) {
global.R,isolate_usage,44,      is_reactive_context <- isolate({ TRUE })
global.R,isolate_usage,657,#' Using isolate() ensures the emit functions don't create
global.R,isolate_usage,669,      isolate({
global.R,isolate_usage,676,      isolate({
global.R,isolate_usage,684,      isolate({
global.R,isolate_usage,691,      isolate({
global.R,isolate_usage,698,      isolate({
global.R,isolate_usage,706,      isolate({
global.R,isolate_usage,713,      isolate({
global.R,isolate_usage,721,      isolate({
global.R,isolate_usage,729,      isolate({
global.R,isolate_usage,736,      isolate({
R/app_server.R,parallel_state,39,  values <- reactiveValues()  # Empty values for compatibility
R/app_server.R,loose_observers,203,    observe({
R/app_server.R,loose_observers,220,  observe({
R/app_server.R,triggers,120,          # Emit event to trigger downstream effects
R/app_server.R,triggers,213,      # Unified state: Use centralized state for reactive triggers
R/app_server.R,session_couple,14,"  session_debugger <- debug_session_lifecycle(session$token, session)"
R/app_server.R,session_couple,19,"  log_debug(paste(""Session ID:"", session$token), ""APP_SERVER"")"
R/app_server.R,session_couple,22,"            level = ""INFO"", session_id = session$token)"
R/app_server.R,session_couple,38,"  debug_log(""Creating minimal reactive values"", ""SESSION_LIFECYCLE"", level = ""TRACE"", session_id = session$token)"
R/app_server.R,session_couple,45,"  debug_log(""Creating centralized app_state"", ""SESSION_LIFECYCLE"", level = ""TRACE"", session_id = session$token)"
R/app_server.R,session_couple,56,"  initial_snapshot <- debug_state_snapshot(""app_initialization"", app_state, session_id = session$token)"
R/app_server.R,session_couple,72,            session_id = session$token)
R/app_server.R,session_couple,76,"    autoload_tracer <- debug_workflow_tracer(""test_mode_auto_load"", app_state, session$token)"
R/app_server.R,session_couple,123,          app_state$session$file_uploaded <- TRUE
R/app_server.R,session_couple,125,          app_state$session$user_started_session <- TRUE
R/app_server.R,session_couple,135,"          debug_state_snapshot(""after_test_data_autoload"", app_state, session_id = session$token)"
R/app_server.R,session_couple,196,"  debug_log(""All server components setup completed"", ""SESSION_LIFECYCLE"", level = ""INFO"", session_id = session$token)"
R/app_server.R,session_couple,229,  session$onSessionEnded(function() {
R/app_server.R,session_couple,231,"    debug_log(""Session cleanup initiated"", ""SESSION_LIFECYCLE"", level = ""INFO"", session_id = session$token)"
R/app_server.R,session_couple,251,              session_id = session$token)
R/app_ui.R,triggers,64,"            console.log('Found saved session data, triggering auto-restore');"
R/fct_chart_helpers.R,qic_calls,160,  # Skift column validation handled by qicharts2::qic() internally
R/fct_data_processing.R,parallel_state,484,"    cat(""DEBUG: [UI_SYNC_TRIGGER] Legacy values$ui_sync_needed assignment skipped (unified state only)\n"")"
R/fct_data_processing.R,parallel_state,548,    # PHASE 4: Legacy values$ access removed - now using unified state only
R/fct_data_processing.R,parallel_state,549,"    cat(""DEBUG: [AUTO_DETECT_FUNC] - Legacy values$current_data access skipped (unified state only)\n"")"
R/fct_data_processing.R,parallel_state,761,"  # NOTE: values$original_data bevares uændret, kun values$current_data modificeres"
R/fct_data_processing.R,parallel_state,824,                # Legacy values$current_data assignment removed
R/fct_data_processing.R,parallel_state,979,    # PHASE 4: Legacy values$auto_detected_columns assignment removed - now using unified state only
R/fct_data_processing.R,parallel_state,980,"    cat(""DEBUG: [PHASE4] Skipping legacy values$auto_detected_columns assignment (unified state handles this)\n"")"
R/fct_data_processing.R,parallel_state,1422,  # Uses emit$session_reset() events and app_state instead of values$
R/fct_data_processing.R,loose_observers,51,  observe({
R/fct_data_processing.R,loose_observers,135,  observeEvent({
R/fct_data_processing.R,loose_observers,180,  # The emit$data_loaded() -> observeEvent(app_state$events$data_loaded) -> emit$auto_detection_started()
R/fct_data_processing.R,loose_observers,187,  # The observeEvent(app_state$events$auto_detection_started) handles all auto-detection logic
R/fct_data_processing.R,loose_observers,195,"  observeEvent(input$auto_detect_columns, {"
R/fct_data_processing.R,loose_observers,281,"  observeEvent(input$edit_column_names, {"
R/fct_data_processing.R,loose_observers,286,"  observeEvent(input$confirm_column_names, {"
R/fct_data_processing.R,loose_observers,291,"  observeEvent(input$add_column, {"
R/fct_data_processing.R,loose_observers,295,"  observeEvent(input$confirm_add_col, {"
R/fct_data_processing.R,loose_observers,1200,"  app_data_reactive <- eventReactive(app_state$navigation$trigger, {"
R/fct_data_processing.R,loose_observers,1270,"  observeEvent(input$main_data_table,"
R/fct_data_processing.R,loose_observers,1396,"  observeEvent(input$add_row, {"
R/fct_data_processing.R,direct_input,107,        current_x <- input$x_column
R/fct_data_processing.R,direct_input,108,        current_y <- input$y_column
R/fct_data_processing.R,direct_input,109,        current_n <- input$n_column
R/fct_data_processing.R,direct_input,110,        current_skift <- input$skift_column
R/fct_data_processing.R,direct_input,111,        current_frys <- input$frys_column
R/fct_data_processing.R,direct_input,112,        current_kommentar <- input$kommentar_column
R/fct_data_processing.R,direct_input,154,"      x_empty <- is.null(input$x_column) || input$x_column == """""
R/fct_data_processing.R,direct_input,155,"      y_empty <- is.null(input$y_column) || input$y_column == """""
R/fct_data_processing.R,direct_input,195,"  observeEvent(input$auto_detect_columns, {"
R/fct_data_processing.R,direct_input,215,"    if ((is.null(input$x_column) || input$x_column == """") ||"
R/fct_data_processing.R,direct_input,216,"      (is.null(input$y_column) || input$y_column == """")) {"
