file,kind,line,snippet
archive/app_backup.R,triggers,64,"              console.log('Found saved session data, triggering auto-restore');"
archive/app_layout_test.R,parallel_state,160,  raw_data <- reactiveVal(NULL)
archive/app_layout_test.R,parallel_state,435,  plots_initialized <- reactiveVal(FALSE)
archive/app_layout_test.R,parallel_state,579,  current_index <- reactiveVal(1)
archive/app_layout_test.R,loose_observers,166,"  observeEvent(input$filvalg, {"
archive/app_layout_test.R,loose_observers,324,"  observeEvent(input$seneste7, {"
archive/app_layout_test.R,loose_observers,332,"  observeEvent(input$nulstil, {"
archive/app_layout_test.R,loose_observers,438,  observe({
archive/app_layout_test.R,loose_observers,581,"  observeEvent(input$sagstabel_rows_selected, {"
archive/app_layout_test.R,loose_observers,674,"  observeEvent(input$prev_case, {"
archive/app_layout_test.R,loose_observers,679,"  observeEvent(input$next_case, {"
archive/app_layout_test.R,direct_input,166,"  observeEvent(input$filvalg, {"
archive/app_layout_test.R,direct_input,167,    req(input$filvalg)
archive/app_layout_test.R,direct_input,168,    ext <- tools::file_ext(input$filvalg$name) |> str_to_lower()
archive/app_layout_test.R,direct_input,177,"            input$filvalg$datapath,"
archive/app_layout_test.R,direct_input,182,"          df <- rio::import(input$filvalg$datapath, skip = 3, col_types = ""text"")"
archive/app_layout_test.R,direct_input,222,  fritekst_debounced <- reactive(input$fritekst) %>% debounce(500)
archive/app_layout_test.R,direct_input,230,    if (!is.null(input$dato)) {
archive/app_layout_test.R,direct_input,231,"      df <- df |> filter(opret_dato >= input$dato[1], opret_dato <= input$dato[2])"
archive/app_layout_test.R,direct_input,236,"      afdeling = input$afdeling,"
archive/app_layout_test.R,direct_input,237,"      sagsstatus = input$sagsstatus,"
archive/app_layout_test.R,direct_input,238,"      samlet_alvorlighedskategori = input$samlet_alvorlighedskategori,"
archive/app_layout_test.R,direct_input,239,      dpsd_hovedgruppe = input$hovedgruppe
archive/app_layout_test.R,direct_input,324,"  observeEvent(input$seneste7, {"
archive/app_layout_test.R,direct_input,332,"  observeEvent(input$nulstil, {"
archive/app_layout_test.R,direct_input,347,"    if (is.null(input$dato)) return(""(Periode ikke valgt)"")"
archive/app_layout_test.R,direct_input,349,"            format(input$dato[1], ""%d. %b %Y""),"
archive/app_layout_test.R,direct_input,350,"            format(input$dato[2], ""%d. %b %Y""))"
archive/app_layout_test.R,direct_input,581,"  observeEvent(input$sagstabel_rows_selected, {"
archive/app_layout_test.R,direct_input,582,    selected <- input$sagstabel_rows_selected
archive/app_layout_test.R,direct_input,674,"  observeEvent(input$prev_case, {"
archive/app_layout_test.R,direct_input,679,"  observeEvent(input$next_case, {"
archive/DT.R,parallel_state,20,  data_rv <- reactiveVal(
archive/DT.R,loose_observers,38,"  observeEvent(input$tbl_cell_edit, {"
archive/DT.R,loose_observers,59,"  observeEvent(input$add_row, {"
archive/DT.R,loose_observers,66,"  observeEvent(input$del_rows, {"
archive/DT.R,direct_input,38,"  observeEvent(input$tbl_cell_edit, {"
archive/DT.R,direct_input,39,    info <- input$tbl_cell_edit
archive/DT.R,direct_input,59,"  observeEvent(input$add_row, {"
archive/DT.R,direct_input,66,"  observeEvent(input$del_rows, {"
archive/DT.R,direct_input,67,    sel <- input$tbl_rows_selected
archive/DT1.R,parallel_state,41,  rv <- reactiveVal({
archive/DT1.R,loose_observers,88,"  observeEvent(input$tbl_cell_edit, {"
archive/DT1.R,direct_input,88,"  observeEvent(input$tbl_cell_edit, {"
archive/DT1.R,direct_input,89,    info <- input$tbl_cell_edit
archive/DT1.R,triggers,72,            $(this).blur(); // trigger Shiny update
archive/DT2.R,parallel_state,85,  rv  <- reactiveVal(df0)
archive/DT2.R,loose_observers,106,"  observeEvent(input$tbl_cell_edit, {"
archive/DT2.R,direct_input,106,"  observeEvent(input$tbl_cell_edit, {"
